No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
59,UI,Use Material 3 components,M3 design system with dynamic theming,useMaterial3: true with M3 widgets,Material 2 patterns in new projects,"MaterialApp(theme: ThemeData(useMaterial3: true, colorScheme: ColorScheme.fromSeed(seedColor: Colors.blue)))","ThemeData(primarySwatch: Colors.blue) // M2",High,https://docs.flutter.dev/ui/design/material
60,UI,Use Slivers for scroll effects,CustomScrollView with Slivers for complex scrolling,SliverAppBar SliverList SliverGrid,Nested ListView or SingleChildScrollView,"CustomScrollView(slivers: [SliverAppBar.large(), SliverList.builder(itemBuilder: ...)])","ListView(children: [AppBar(), ListView()]) // nested",High,https://api.flutter.dev/flutter/widgets/CustomScrollView-class.html
61,Navigation,Use auto_route for complex apps,Type-safe code-generated routing,auto_route with @RoutePage annotations,Manual route management in large apps,"@RoutePage() class HomeScreen extends StatelessWidget {} // auto_route","Navigator.push(context, MaterialPageRoute(builder: ...)) everywhere",Medium,https://pub.dev/packages/auto_route
62,Navigation,Handle predictive back gesture,Android 14+ predictive back support,PopScope with onPopInvokedWithResult,Ignore predictive back on Android 14+,"PopScope(canPop: false, onPopInvokedWithResult: (didPop, result) { if (!didPop) handleBack(); })","WillPopScope(onWillPop: ...) // deprecated",High,https://developer.android.com/guide/navigation/custom-back/predictive-back-gesture
63,Platform,Optimize for Flutter Web,Web-specific patterns and lazy loading,kIsWeb checks and deferred imports,Assume mobile patterns work on web,"if (kIsWeb) { // web-specific } import 'heavy.dart' deferred as heavy;","// Same code for mobile and web without checks",Medium,https://docs.flutter.dev/platform-integration/web
64,Platform,Support desktop form factors,Keyboard shortcuts hover states scroll physics,Shortcuts Actions FocusNode for desktop,Touch-only patterns on desktop,"Shortcuts(shortcuts: {LogicalKeySet(LogicalKeyboardKey.escape): DismissIntent()}, child: Actions(...))","// No keyboard navigation support",Medium,https://docs.flutter.dev/platform-integration/desktop
65,Animation,Use flutter_animate package,Declarative animation composition,Chained animate methods for sequences,Complex AnimationController for simple sequences,"widget.animate().fadeIn(duration: 300.ms).slideX(begin: -0.1)","AnimationController + Tween + AnimatedBuilder // for fade+slide",Low,https://pub.dev/packages/flutter_animate
66,Testing,Use golden tests for visual regression,Pixel-perfect screenshot testing,matchesGoldenFile for critical UI,Skip visual regression testing,"await expectLater(find.byType(MyWidget), matchesGoldenFile('goldens/my_widget.png'));","// No visual testing",Medium,https://api.flutter.dev/flutter/flutter_test/matchesGoldenFile.html
67,Testing,Use patrol for integration tests,Better integration test framework,Patrol for native interaction testing,Basic integration_test only for complex apps,"await $.native.tap('Allow'); await $(#loginButton).tap();","// Cannot interact with native dialogs",Medium,https://pub.dev/packages/patrol
68,Architecture,Use feature-first folder structure,Organize by feature not layer,/features/auth/ /features/home/ structure,Layer-first /screens/ /widgets/ /services/,"lib/features/auth/(data/domain/presentation) lib/features/home/...","lib/screens/ lib/widgets/ lib/services/ // hard to scale",Medium,https://docs.flutter.dev/app-architecture
69,Architecture,Apply clean architecture,Separation of data domain presentation layers,Repository pattern with dependency injection,Business logic in widgets,"class UserRepository { Future<User> getUser(); } // injected via Riverpod","// API calls directly in widgets",High,https://docs.flutter.dev/app-architecture/design-patterns
70,UI,Use SelectableRegion for text selection,Native text selection across widgets,SelectableRegion for selectable content,Custom selection implementations,"SelectableRegion(selectionControls: materialTextSelectionControls, child: Column(...))","// Custom gesture detector for selection",Low,https://api.flutter.dev/flutter/widgets/SelectableRegion-class.html
71,Performance,Leverage Impeller for jank-free animations,Impeller eliminates shader compilation jank with precompiled shaders,Enable Impeller and design for 60+ FPS consistency,Rely on Skia shader warmup workarounds,"// flutter run --enable-impeller // Default in Flutter 3.19+ ensures smooth first-frame animations","// Skia: ShaderWarmUp class for precompilation workarounds",High,https://docs.flutter.dev/perf/impeller
72,Performance,Profile animations with Impeller DevTools,Use DevTools Timeline for Impeller performance analysis,Monitor frame times and GPU utilization in DevTools,Assume Impeller fixes all performance issues,"// DevTools > Performance > Enable Impeller metrics // Check for consistent 16ms frame budget","// No profiling relying on visual smoothness only",Medium,https://docs.flutter.dev/tools/devtools/performance
73,Performance,Configure Impeller per platform,Impeller default on iOS enable explicitly on Android,Use --enable-impeller flag for Android testing,Assume same rendering on all platforms,"// iOS: Impeller default // Android: flutter run --enable-impeller or AndroidManifest.xml <meta-data android:name='io.flutter.embedding.android.EnableImpeller' android:value='true' />","// Ignoring platform rendering differences",Medium,https://docs.flutter.dev/perf/impeller#android
74,Animation,Use SpringSimulation for physics-based motion,spring_simulation.dart provides natural bouncy animations,SpringSimulation with SpringDescription for organic feel,Linear or eased animations for interactive elements,"final spring = SpringSimulation(SpringDescription(mass: 1.0, stiffness: 500.0, damping: 25.0), 0, 1, 0); controller.animateWith(spring);","Curves.easeOut for drag-release animations",High,https://api.flutter.dev/flutter/physics/SpringSimulation-class.html
75,Animation,Tune SpringDescription parameters,mass stiffness damping control spring behavior,Adjust stiffness (100-1000) and damping ratio for feel,Default spring values without testing,"SpringDescription(mass: 1.0, stiffness: 400.0, damping: 20.0) // Bouncy SpringDescription.withDampingRatio(mass: 1.0, stiffness: 500.0, ratio: 0.7) // Smooth","SpringDescription(mass: 1, stiffness: 100, damping: 1) // Underdamped chaos",Medium,https://api.flutter.dev/flutter/physics/SpringDescription-class.html
76,Animation,Use spring physics for gestures,Connect drag gestures to spring animations,AnimationController.animateWith(SpringSimulation) on gesture end,Abrupt stops after drag release,"onPanEnd: (details) { final velocity = details.velocity.pixelsPerSecond.dy; controller.animateWith(SpringSimulation(spring, currentValue, targetValue, velocity / 1000)); }","onPanEnd: () => controller.animateTo(target) // No velocity",High,https://docs.flutter.dev/cookbook/animation/physics-simulation
77,Animation,Implement scroll spring physics,Custom ScrollPhysics with spring behavior,BouncingScrollPhysics or custom SpringScrollPhysics,ClampingScrollPhysics for organic scrolling,"class SpringScrollPhysics extends ScrollPhysics { @override SpringDescription get spring => SpringDescription(mass: 0.5, stiffness: 100, damping: 1); }","ClampingScrollPhysics() // Hard stops",Medium,https://api.flutter.dev/flutter/widgets/BouncingScrollPhysics-class.html
78,Performance,Optimize for 120Hz displays,Design animations for high refresh rate screens,Use TickerMode and vsync for 120Hz frame pacing,Assume 60Hz timing for all devices,"// AnimationController respects display refresh rate // Profile on 120Hz devices for smoothness class _State extends State<X> with TickerProviderStateMixin","// Hardcoded Duration(milliseconds: 16) assumptions",High,https://docs.flutter.dev/perf/rendering-performance
79,Performance,Implement adaptive frame timing,Detect and adapt to display refresh rate,Query refresh rate and adjust animation curves,Fixed frame budgets across devices,"final refreshRate = View.of(context).display.refreshRate; // 120Hz = 8.3ms budget vs 60Hz = 16.6ms","// Assume 16ms frame budget on all devices",Medium,https://api.flutter.dev/flutter/dart-ui/FlutterView/display.html
80,Performance,Profile on high refresh rate devices,Test animations on 120Hz hardware,Use DevTools to verify consistent frame delivery,Test only on 60Hz devices,"// DevTools Performance tab // Frame rendering time should be < 8.3ms for 120Hz // Check for jank spikes on ProMotion displays","// Visual testing on 60Hz only",Medium,https://docs.flutter.dev/tools/devtools/performance
81,Animation,Integrate Rive for interactive animations,Rive state machines enable reactive vector animations,rive package for complex state-driven animations,Lottie for interactive animations requiring state,"RiveAnimation.asset('assets/animation.riv', stateMachines: ['StateMachine'], onInit: (artboard) { _controller = StateMachineController.fromArtboard(artboard, 'StateMachine'); })","LottieBuilder.asset() // No state machine support",High,https://pub.dev/packages/rive
82,Animation,Control Rive state machines,Trigger state changes from Flutter code,SMITrigger SMIBool SMINumber for state control,Hardcoded animation playback,"final trigger = _controller.findInput<bool>('isPressed') as SMIBool; trigger.value = true; // Triggers state transition","// Play/pause only without state control",Medium,https://rive.app/community/doc/state-machines/docxX4lP4Y8S
83,Animation,Optimize Rive asset loading,Preload and cache Rive animations,RiveFile.asset with preloading for performance,Load Rive files on every rebuild,"final riveFile = await RiveFile.asset('assets/anim.riv'); // Cache in state @override void initState() { _loadRive(); }","RiveAnimation.asset() in build() // Reloads each build",Medium,https://pub.dev/packages/rive
84,UI,Adapt to iOS 26 Liquid Glass design,Cupertino widgets support Liquid Glass glassmorphism,CupertinoTheme with translucent materials for iOS 26,Ignore iOS 26 design language changes,"CupertinoApp(theme: CupertinoThemeData(scaffoldBackgroundColor: CupertinoColors.systemBackground.withOpacity(0.7))) // Translucent backgrounds","// Opaque backgrounds ignoring Liquid Glass aesthetic",High,https://developer.apple.com/design/human-interface-guidelines/designing-for-ios
85,UI,Implement Cupertino glassmorphism effects,Use BackdropFilter and translucent materials,BackdropFilter with ImageFilter.blur for glass effect,Solid color backgrounds on iOS 26,"BackdropFilter(filter: ImageFilter.blur(sigmaX: 30, sigmaY: 30), child: Container(color: CupertinoColors.systemBackground.withOpacity(0.6)))","Container(color: CupertinoColors.systemBackground) // Opaque",Medium,https://api.flutter.dev/flutter/widgets/BackdropFilter-class.html
86,UI,Use CupertinoSliverNavigationBar for iOS feel,Large title navigation adapting to Liquid Glass,CupertinoSliverNavigationBar with translucent background,Material AppBar on iOS apps,"CupertinoSliverNavigationBar(largeTitle: Text('Settings'), backgroundColor: CupertinoColors.systemBackground.withOpacity(0.8), border: null)","AppBar(title: Text('Settings')) // Material on iOS",Medium,https://api.flutter.dev/flutter/cupertino/CupertinoSliverNavigationBar-class.html
87,Animation,Use Curves.easeInOutCubicEmphasized,Material 3 emphasized easing for natural motion,easeInOutCubicEmphasized for M3 transitions,Linear or basic easing for UI animations,"AnimatedContainer(duration: Duration(milliseconds: 500), curve: Curves.easeInOutCubicEmphasized)","curve: Curves.linear // Robotic motion",Medium,https://api.flutter.dev/flutter/animation/Curves/easeInOutCubicEmphasized-constant.html
88,Animation,Prefer ImplicitlyAnimatedWidget subclasses,Built-in widgets handle animation complexity,AnimatedContainer AnimatedPadding AnimatedAlign,AnimationController for simple property changes,"AnimatedPadding(duration: Duration(ms: 300), padding: EdgeInsets.all(isExpanded ? 16 : 8), child: content)","AnimationController + Tween<EdgeInsets> // Overcomplicated",Low,https://api.flutter.dev/flutter/widgets/ImplicitlyAnimatedWidget-class.html
89,Animation,Use AnimatedBuilder for custom animations,Efficient rebuilds with AnimatedBuilder pattern,AnimatedBuilder for complex animated widgets,Rebuilding entire widget tree on animation tick,"AnimatedBuilder(animation: controller, builder: (context, child) => Transform.rotate(angle: controller.value * 2 * pi, child: child), child: const Icon(Icons.refresh))","setState on every animation tick // Rebuilds entire tree",Medium,https://api.flutter.dev/flutter/widgets/AnimatedBuilder-class.html
90,Animation,Implement staggered animations,Sequential animations with Interval curves,Staggered intervals for list item animations,Simultaneous animations for list items,"Interval(index * 0.1, index * 0.1 + 0.5, curve: Curves.easeOut) // Stagger each item","// All items animate at once",Medium,https://docs.flutter.dev/ui/animations/staggered-animations
91,Performance,Use battery-efficient animation patterns,Reduce animation work when battery is low,Check battery state and reduce animation complexity,Full animations regardless of battery state,"if (await Battery().batteryLevel < 20) { animationDuration = Duration.zero; } // Reduce motion on low battery","// Always animate at full fidelity",Low,https://pub.dev/packages/battery_plus
92,Performance,Implement reduced motion support,Respect system accessibility settings,MediaQuery.disableAnimations for reduced motion,Ignore accessibility motion preferences,"if (MediaQuery.of(context).disableAnimations) { return child; // Skip animation } return AnimatedWidget(child: child);","// Animations regardless of accessibility settings",High,https://api.flutter.dev/flutter/widgets/MediaQueryData/disableAnimations.html
