No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
63,Animation,Use matchedGeometryEffect for seamless transitions,Create fluid hero transitions between views sharing same geometry ID,matchedGeometryEffect with @Namespace,Custom frame animations for transitions,"Image(name).matchedGeometryEffect(id: ""hero"", in: namespace)","withAnimation { selectedFrame = targetFrame } // manual position",High,https://developer.apple.com/documentation/swiftui/view/matchedgeometryeffect(id:in:properties:anchor:issource:)
64,Animation,Use KeyframeAnimator for keyframe sequences,Define precise keyframe tracks for complex multi-property animations,KeyframeAnimator for choreographed animations,Chained withAnimation delays,"KeyframeAnimator(initialValue: AnimationValues()) { value in content.offset(x: value.x) } keyframes: { KeyframeTrack(\.x) { ... } }","withAnimation(.delay(0.2)) { x = 10 } // chained delays",Medium,https://developer.apple.com/documentation/swiftui/keyframeanimator
65,Animation,Implement CustomAnimation protocol,Create reusable custom animation curves and behaviors,CustomAnimation for brand-specific easing,Inline animation configuration everywhere,"struct BounceAnimation: CustomAnimation { func animate<V>(value: V, time: TimeInterval, context: inout AnimationContext<V>) -> V? }",".animation(.timingCurve(0.68, -0.55, 0.27, 1.55)) // repeated inline",Low,https://developer.apple.com/documentation/swiftui/customanimation
66,Animation,Use spring(duration:bounce:) modifier,Modern spring animation API with intuitive duration and bounce parameters,spring(duration:bounce:) for predictable springs,Manual spring response/dampingFraction,.animation(.spring(duration: 0.5 bounce: 0.3)),.animation(.spring(response: 0.5 dampingFraction: 0.7)) // less intuitive,Medium,https://developer.apple.com/documentation/swiftui/animation/spring(duration:bounce:blendduration:)
67,iOS26,Apply glass material effects,Use Liquid Glass materials for depth and translucency in iOS 26,Material modifiers for glass effects,Solid opaque backgrounds for all surfaces,.background(.ultraThinMaterial).glassEffect(),.background(Color.white) // no depth,Medium,https://developer.apple.com/documentation/swiftui/material
68,iOS26,Use adaptive glass backgrounds,Implement context-aware glass that adapts to underlying content,GlassBackgroundEffect for adaptive translucency,Fixed opacity overlays,.background(GlassBackgroundEffect(in: .rect(cornerRadius: 16))),.background(Color.black.opacity(0.3)) // static,Medium,https://developer.apple.com/documentation/swiftui/view/glasseffect(_:in:isenabled:)
69,iOS26,Create liquid transitions,Use fluid morphing transitions between UI states,.liquidTransition() for state changes,Abrupt opacity/scale transitions,.transition(.liquidMorph),.transition(.opacity) // abrupt,Low,
70,iOS26,Layer vibrancy effects,Combine blur and vibrancy for readable overlaid content,.vibrant modifier with material backgrounds,Plain text over blurred backgrounds,"Text(""Label"").vibrant().background(.thinMaterial)","Text(""Label"").background(.thinMaterial) // low contrast",Medium,https://developer.apple.com/documentation/swiftui/vibrancyeffect
71,Performance,Optimize for 120Hz ProMotion,Ensure smooth animations on ProMotion displays with proper frame timing,High frame rate animations with .highFrameRateReason,30fps animations on 120Hz devices,.animation(.spring().highFrameRateReason(.tracking)),.animation(.spring()) // may not use full refresh rate,Medium,
72,Performance,Use CADisplayLink for frame-synced updates,Sync custom drawing to display refresh for tear-free rendering,CADisplayLink for custom real-time rendering,Timer for animation frames,"displayLink = CADisplayLink(target: self, selector: #selector(update)); displayLink.preferredFrameRateRange = CAFrameRateRange(minimum: 80, maximum: 120)",Timer.scheduledTimer(withTimeInterval: 1/60) // not display synced,Medium,https://developer.apple.com/documentation/quartzcore/cadisplaylink
73,Performance,Request adaptive refresh rates,Use preferredFrameRateRange for battery-efficient animations,Adaptive frame rates based on content motion,Fixed 120Hz for all content,"CAFrameRateRange(minimum: 30, maximum: 120, __preferred: 60)","view.preferredFramesPerSecond = 120 // battery drain",Low,https://developer.apple.com/documentation/quartzcore/caframeraterange
74,Icons,Use SF Symbols 5 effects,Apply built-in symbol effects like bounce pulse and variableColor,symbolEffect modifier for dynamic icons,Custom icon animations,Image(systemName: name).symbolEffect(.bounce trigger: triggerValue),Image(systemName: name).scaleEffect(animate ? 1.2 : 1.0) // manual,Medium,https://developer.apple.com/documentation/swiftui/view/symboleffect(_:options:value:)
75,Icons,Animate symbol transitions,Use contentTransition for smooth symbol changes between states,.contentTransition(.symbolEffect) for icon changes,Abrupt image swaps,"Image(systemName: iconName).contentTransition(.symbolEffect(.replace))",if condition { Image(icon1) } else { Image(icon2) } // abrupt,Medium,https://developer.apple.com/documentation/swiftui/contenttransition/symboleffect(_:options:)
76,Icons,Apply symbol rendering modes,Use hierarchical multicolor or palette rendering for rich SF Symbols,.symbolRenderingMode for visual depth,Monochrome symbols only,Image(systemName: name).symbolRenderingMode(.hierarchical),Image(systemName: name) // flat monochrome,Low,https://developer.apple.com/documentation/swiftui/symbolrenderingmode
77,Accessibility,Support Dynamic Type scaling,Ensure all text scales with user accessibility settings,@ScaledMetric for custom spacing and Dynamic Type fonts,Fixed font sizes and spacing,"@ScaledMetric(relativeTo: .body) var spacing: CGFloat = 16; .font(.body)","let spacing: CGFloat = 16; .font(.system(size: 16)) // fixed",High,https://developer.apple.com/documentation/swiftui/scaledmetric
78,Animation,Use interpolatingSpring for gesture-driven animations,Create springs that respond naturally to gesture velocity,.interpolatingSpring for drag-to-dismiss,Linear animations for gestures,.animation(.interpolatingSpring(stiffness: 300 damping: 30)),.animation(.linear) // unnatural feel on release,Medium,https://developer.apple.com/documentation/swiftui/animation/interpolatingspring(stiffness:damping:initiialvelocity:)
